Isolate,ClusterName,Institute,Location,HR,Weight,PatientID
MSK544,0,MSK,USA,True,0.000333000333000333,MSK_Pt_14
MSK1015,0,MSK,USA,True,0.000333000333000333,MSK_Pt_11
MSK65,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK1119,0,MSK,USA,True,0.000333000333000333,MSK_Pt_3
MSK67,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK1129,0,MSK,USA,True,0.000333000333000333,MSK_Pt_3
MSK1004,0,MSK,USA,True,0.000333000333000333,MSK_Pt_11
MSK2094,0,MSK,USA,True,0.000333000333000333,MSK_Pt_18
MSK522,0,MSK,USA,True,0.000333000333000333,MSK_Pt_14
MSK2057,0,MSK,USA,True,0.000333000333000333,MSK_Pt_22
MSK520,0,MSK,USA,True,0.000333000333000333,MSK_Pt_14
MSK51,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK5,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK1,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK49,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK2162,0,MSK,USA,True,0.000333000333000333,MSK_Pt_0
MSK485,0,MSK,USA,True,0.000333000333000333,MSK_Pt_14
MSK2,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK264,0,MSK,USA,True,0.000333000333000333,MSK_Pt_30
MSK18,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK1762,0,MSK,USA,True,0.000333000333000333,MSK_Pt_27
MSK282,0,MSK,USA,True,0.000333000333000333,MSK_Pt_30
MSK296,0,MSK,USA,True,0.000333000333000333,MSK_Pt_30
MSK624,0,MSK,USA,True,0.000333000333000333,MSK_Pt_14
MSK17,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK812,0,MSK,USA,True,0.000333000333000333,
MSK314,0,MSK,USA,True,0.000333000333000333,MSK_Pt_30
MSK315,0,MSK,USA,True,0.000333000333000333,MSK_Pt_30
MSK33,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK34,0,MSK,USA,True,0.000333000333000333,MSK_Pt_23
MSK478,0,MSK,USA,True,0.000333000333000333,MSK_Pt_30
MSK297,0,MSK,USA,True,0.000333000333000333,MSK_Pt_30
MSK543,0,MSK,USA,True,0.000333000333000333,MSK_Pt_14
MSK1891,1,MSK,USA,False,0.000999000999000999,MSK_Pt_17
MSK1892,1,MSK,USA,False,0.000999000999000999,MSK_Pt_17
MSK2124,1,MSK,USA,False,0.000999000999000999,MSK_Pt_31
MSK1884,1,MSK,USA,False,0.000999000999000999,MSK_Pt_17
MSK1882,1,MSK,USA,False,0.000999000999000999,MSK_Pt_17
MSK1894,1,MSK,USA,False,0.000999000999000999,MSK_Pt_17
MSK811,1,MSK,USA,False,0.000999000999000999,
