,Pattern_100,Institute,Location,HR
CDC335,Hom ref,CDC,USA,False
CDC336,Hom ref,CDC,USA,False
CDC337,Hom ref,CDC,USA,False
CDC338,Hom alt,CDC,USA,False
CDC339,Hom alt,CDC,USA,False
CDC340,Hom ref,CDC,USA,False
CDC342,Hom ref,CDC,USA,False
CDC343,Hom alt,CDC,USA,True
CDC344,Hom ref,CDC,USA,True
E1,Hom alt,PUMCH,China,False
E10,Hom ref,PUMCH,China,False
E11,Hom ref,PUMCH,China,False
E12,Hom ref,PUMCH,China,False
E13,Hom ref,PUMCH,China,False
E14,Hom alt,PUMCH,China,False
E15,Hom ref,PUMCH,China,False
E16,Hom ref,PUMCH,China,False
E17,Hom ref,PUMCH,China,False
E18,Hom ref,PUMCH,China,False
E19,Hom ref,PUMCH,China,False
E20,Hom ref,PUMCH,China,False
E21,Hom ref,PUMCH,China,False
E22,Hom ref,PUMCH,China,False
E23,Hom ref,PUMCH,China,False
E24,Hom ref,PUMCH,China,False
E25,Hom ref,PUMCH,China,False
E27,Hom alt,PUMCH,China,False
E3,Hom ref,PUMCH,China,False
E30,Hom ref,PUMCH,China,True
E31,Hom ref,PUMCH,China,False
E32,Hom ref,PUMCH,China,True
E33,Hom ref,PUMCH,China,False
E34,Hom ref,PUMCH,China,True
E35,Hom alt,PUMCH,China,False
E36,Hom ref,PUMCH,China,True
E37,Hom ref,PUMCH,China,False
E38,Hom alt,PUMCH,China,True
E39,Hom alt,PUMCH,China,False
E4,Hom ref,PUMCH,China,False
E40,Hom ref,PUMCH,China,False
E41,Hom ref,PUMCH,China,False
E42,Hom ref,PUMCH,China,False
E43,Hom ref,PUMCH,China,False
E44,Hom ref,PUMCH,China,False
E45,Hom alt,PUMCH,China,True
E46,Hom alt,PUMCH,China,True
E47,Hom ref,PUMCH,China,False
E48,Hom ref,PUMCH,China,False
E49,Hom ref,PUMCH,China,False
E5,Hom alt,PUMCH,China,True
E50,Hom ref,PUMCH,China,False
E51,Hom ref,PUMCH,China,False
E52,Hom ref,PUMCH,China,False
E53,Hom alt,PUMCH,China,False
E54,Hom ref,PUMCH,China,True
E56,Hom ref,PUMCH,China,False
E57,Hom ref,PUMCH,China,False
E58,Hom ref,PUMCH,China,False
E59,Hom ref,PUMCH,China,False
E6,Hom ref,PUMCH,China,False
E60,Hom ref,PUMCH,China,False
E61,Hom ref,PUMCH,China,False
E62,Hom ref,PUMCH,China,False
E63,Hom ref,PUMCH,China,False
E64,Hom ref,PUMCH,China,False
E65,Hom ref,PUMCH,China,False
E66,Hom ref,PUMCH,China,False
E67,Hom alt,PUMCH,China,True
E68,Hom ref,PUMCH,China,False
E69,Hom ref,PUMCH,China,False
E7,Hom ref,PUMCH,China,True
E70,Hom ref,PUMCH,China,False
E71,Hom ref,PUMCH,China,False
E72,Hom ref,PUMCH,China,False
E73,Hom ref,PUMCH,China,False
E74,Hom ref,PUMCH,China,False
E75,Hom ref,PUMCH,China,False
E78,Hom ref,PUMCH,China,False
E79,Hom ref,PUMCH,China,False
