iteration,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
0,0.75,0.75,0.3,0.4285714285714285,"E36,UWM1207,MSK2384,GL122,E7,MSK2191,MSK807",E27
1,0.75,0.6666666666666666,0.4,0.5,"E34,FM14,E7,MSK810,E32,MSK2199","MSK814,E1"
2,0.84375,0.7272727272727273,0.8,0.761904761904762,"E38,MSK808","E72,MSK1666,E52"
3,0.8125,0.8333333333333334,0.5,0.625,"E38,MSK2191,MSK2448,UWM1207,MSK810",MSK2406
4,0.75,0.6,0.6,0.6,"MSK808,E7,E38,E30","UWM1206,CDC338,E52,CDC340"
5,0.8125,0.6666666666666666,0.8,0.7272727272727272,"E32,UWM1207","MSK1666,E43,CDC342,MSK809"
6,0.84375,0.8571428571428571,0.6,0.7058823529411764,"MSK807,UWM1207,E36,E34",UWM1206
7,0.78125,0.6363636363636364,0.7,0.6666666666666666,"MSK1394,MSK490,FM14","E10,MSK1666,UWM1208,MSK2406"
8,0.8125,0.75,0.6,0.6666666666666665,"MSK490,MSK2161,E34,MSK1394","E44,E10"
9,0.75,0.625,0.5,0.5555555555555556,"MSK2161,MSK490,GL29,MSK1394,MSK799","MSK814,MSK1666,E39"
10,0.8125,0.6666666666666666,0.8,0.7272727272727272,"E54,FM14","CDC335,E52,UWM1206,GL28"
11,0.625,0.4166666666666667,0.5,0.4545454545454545,"E30,MSK807,E34,FM14,E54","E63,E39,MSK620,CDC335,MSK2406,E27,CDC338"
12,0.8125,0.7,0.7,0.7,"MSK2199,UWM1207,MSK808","E39,GL28,E72"
13,0.78125,0.6363636363636364,0.7,0.6666666666666666,"MSK808,E36,E54","MSK813,CDC339,MSK800,E27"
14,0.8125,0.6666666666666666,0.8,0.7272727272727272,"FM14,E30","E27,GL28,E44,CDC338"
15,0.78125,0.6666666666666666,0.6,0.631578947368421,"MSK810,E34,MSK808,E36","E52,MSK809,CDC342"
16,0.8125,0.7,0.7,0.7,"E36,E38,MSK2199","E43,UWM1206,MSK2406"
17,0.90625,1.0,0.7,0.8235294117647058,"UWM1207,GL62,E30",
18,0.8125,0.8333333333333334,0.5,0.625,"MSK808,E67,E7,MSK810,E34",CDC335
19,0.90625,1.0,0.7,0.8235294117647058,"E36,UWM1207,E46",
20,0.8125,0.75,0.6,0.6666666666666665,"GL79,MSK807,UWM1207,E34","CDC338,E27"
21,0.875,0.875,0.7,0.7777777777777777,"MSK2199,E54,E30",GL28
22,0.8125,0.8333333333333334,0.5,0.625,"GL62,E36,E38,UWM1207,MSK808",E43
23,0.75,0.6,0.6,0.6,"MSK808,E30,FM14,E34","MSK1666,CDC337,CDC336,MSK814"
24,0.84375,0.8571428571428571,0.6,0.7058823529411764,"E36,E7,UWM1207,E34",E44
25,0.8125,0.6666666666666666,0.8,0.7272727272727272,"E34,E30","MSK814,MSK620,MSK2406,GL28"
26,0.875,0.8,0.8,0.8000000000000002,"UWM1207,MSK2191","MSK2406,E44"
27,0.84375,0.7272727272727273,0.8,0.761904761904762,"MSK2649,MSK808","CDC335,MSK2406,E44"
28,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E54,MSK2199,GL79","MSK620,GL28"
29,0.84375,0.7777777777777778,0.7,0.7368421052631577,"GL62,MSK810,E34","E43,GL28"
30,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E54,E46,E36","MSK1666,UWM1206"
31,0.84375,0.7272727272727273,0.8,0.761904761904762,"E32,E46","CDC337,CDC336,CDC335"
32,0.84375,0.7272727272727273,0.8,0.761904761904762,"E30,MSK807","E39,E43,CDC338"
33,0.8125,0.7,0.7,0.7,"FM14,E30,E34","UWM1206,E44,E43"
34,0.875,0.7142857142857143,1.0,0.8333333333333333,,"E43,E44,UWM1206,MSK814"
35,0.78125,0.6363636363636364,0.7,0.6666666666666666,"UWM1207,E7,E34","E44,UWM1206,E1,MSK814"
36,0.75,0.6,0.6,0.6,"GL122,E7,MSK2384,E32","E39,E27,E1,E44"
37,0.84375,0.7272727272727273,0.8,0.761904761904762,"E32,MSK808","E10,E27,MSK814"
38,0.90625,0.8888888888888888,0.8,0.8421052631578948,"E34,E36",E1
39,0.875,0.875,0.7,0.7777777777777777,"MSK2199,E38,MSK808",MSK814
40,0.8125,0.7,0.7,0.7,"MSK2199,GL62,E46","MSK1666,MSK2406,CDC335"
41,0.71875,0.5454545454545454,0.6,0.5714285714285713,"MSK2199,E54,FM14,UWM1207","UWM1206,MSK1666,MSK620,E43,E72"
42,0.84375,1.0,0.5,0.6666666666666666,"E46,E36,E34,UWM1207,MSK810",
43,0.78125,0.6363636363636364,0.7,0.6666666666666666,"E32,E38,GL79","E43,MSK814,E63,UWM1206"
44,0.8125,0.75,0.6,0.6666666666666665,"E34,E36,GL62,MSK808","CDC335,E44"
45,0.75,0.6,0.6,0.6,"MSK810,E54,MSK2199,MSK807","E52,UWM1206,GL28,E63"
46,0.78125,0.6363636363636364,0.7,0.6666666666666666,"GL62,E38,FM14","MSK620,MSK2406,GL28,MSK1666"
47,0.75,1.0,0.2,0.3333333333333333,"FM14,GL122,GL62,MSK2199,MSK2384,MSK807,E38,UWM1207",
48,0.78125,0.6153846153846154,0.8,0.6956521739130435,"E32,E7","E10,E72,GL28,MSK814,CDC335"
49,0.84375,0.7272727272727273,0.8,0.761904761904762,"E46,E54","MSK2406,MSK620,CDC335"
