iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
0,Logit,RFC,8,"Pattern_573 (0.2104),Pattern_2154 (0.1799),Pattern_2006 (0.1516),Pattern_4376 (0.1246),Pattern_1332 (0.0917),Pattern_1250 (0.0876),Pattern_4579 (0.0815),Pattern_2251 (0.0728)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:8",0.875,0.8048780487804879,0.8048780487804879,0.8048780487804877,0.75,0.75,0.3,0.4285714285714285,"E36,UWM1207,MSK2384,GL122,E7,MSK2191,MSK807",E27
0,Logit,XGB,2,"Pattern_573 (0.5840),Pattern_2154 (0.4160)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.8671875,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.78125,1.0,0.3,0.4615384615384615,"E36,UWM1207,MSK2384,GL122,E7,MSK2191,MSK807",
0,Lasso,RFC,2,"Pattern_2154 (0.5237),Pattern_573 (0.4763)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:2",0.875,0.7906976744186046,0.8292682926829268,0.8095238095238095,0.71875,0.5714285714285714,0.4,0.4705882352941176,"UWM1207,MSK2384,GL122,E7,MSK2191,MSK807","E27,CDC340,MSK1324"
0,Lasso,XGB,4,"Pattern_5849 (0.5873),Pattern_2154 (0.2350),Pattern_573 (0.0996),Pattern_5814 (0.0780)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:4",0.875,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.75,0.75,0.3,0.4285714285714285,"E36,UWM1207,MSK2384,GL122,E7,MSK2191,MSK807",E27
0,ENNS,RFC,10,"Pattern_2154 (0.2608),Pattern_573 (0.2351),Pattern_5814 (0.1841),Pattern_2006 (0.1722),Pattern_4015 (0.0980),Pattern_2271 (0.0278),Pattern_4542 (0.0091),Pattern_94 (0.0059),Pattern_2448 (0.0036),Pattern_4891 (0.0034)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:10",0.8828125,0.8421052631578947,0.7804878048780488,0.810126582278481,0.75,0.75,0.3,0.4285714285714285,"E36,UWM1207,MSK2384,GL122,E7,MSK2191,MSK807",E27
0,ENNS,XGB,4,"Pattern_2154 (0.4823),Pattern_5814 (0.3286),Pattern_573 (0.1442),Pattern_2006 (0.0449)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.875,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.75,0.75,0.3,0.4285714285714285,"E36,UWM1207,MSK2384,GL122,E7,MSK2191,MSK807",E27
1,Logit,RFC,4,"Pattern_4376 (0.4847),Pattern_543 (0.3004),Pattern_604 (0.1492),Pattern_573 (0.0657)","classifier__max_depth:2,classifier__max_features:None,classifier__max_samples:0.75,feature_selector__n_features:4",0.8515625,0.7391304347826086,0.8292682926829268,0.7816091954022988,0.75,0.625,0.5,0.5555555555555556,"E34,FM14,E7,E32,MSK2199","MSK814,E1,E12"
1,Logit,XGB,6,"Pattern_4376 (0.4826),Pattern_573 (0.2121),Pattern_543 (0.1111),Pattern_395 (0.1097),Pattern_832 (0.0749),Pattern_604 (0.0095)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:6",0.8671875,0.8,0.7804878048780488,0.7901234567901235,0.78125,0.7142857142857143,0.5,0.588235294117647,"E34,FM14,E7,E32,MSK2199","MSK814,E1"
1,Lasso,RFC,8,"Pattern_4376 (0.5699),Pattern_4466 (0.1933),Pattern_4470 (0.1052),Pattern_667 (0.0586),Pattern_1981 (0.0354),Pattern_5849 (0.0274),Pattern_2547 (0.0064),Pattern_5513 (0.0038)","classifier__max_depth:2,classifier__max_features:None,classifier__max_samples:1.0,feature_selector__n_features:8",0.8828125,0.7954545454545454,0.8536585365853658,0.8235294117647058,0.78125,0.7142857142857143,0.5,0.588235294117647,"E34,FM14,E7,E32,MSK2199","MSK814,E1"
1,Lasso,XGB,2,"Pattern_4376 (1.0000),Pattern_4470 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.859375,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.78125,0.7142857142857143,0.5,0.588235294117647,"E34,FM14,E7,E32,MSK2199","MSK814,E1"
