iteration,feature_selector,classification_model,accuracy_test,precision_test,recall_test,f1_test,strategy
0,Logit,XGB,0.78125,0.6666666666666666,0.6,0.631578947368421,undersampling
1,Logit,XGB,0.625,0.4166666666666667,0.5,0.4545454545454545,undersampling
2,Logit,XGB,0.6875,0.5,0.7,0.5833333333333334,undersampling
3,Logit,XGB,0.84375,0.7777777777777778,0.7,0.7368421052631577,undersampling
4,Logit,XGB,0.84375,0.7272727272727273,0.8,0.761904761904762,undersampling
5,Logit,XGB,0.75,0.5714285714285714,0.8,0.6666666666666666,undersampling
6,Logit,XGB,0.8125,0.75,0.6,0.6666666666666665,undersampling
7,Logit,XGB,0.84375,0.7777777777777778,0.7,0.7368421052631577,undersampling
8,Logit,XGB,0.9375,0.9,0.9,0.9,undersampling
9,Logit,XGB,0.8125,0.6428571428571429,0.9,0.75,undersampling
10,Logit,XGB,0.75,0.5833333333333334,0.7,0.6363636363636365,undersampling
11,Logit,XGB,0.71875,0.5555555555555556,0.5,0.5263157894736842,undersampling
12,Logit,XGB,0.84375,0.8571428571428571,0.6,0.7058823529411764,undersampling
13,Logit,XGB,0.78125,0.6153846153846154,0.8,0.6956521739130435,undersampling
14,Logit,XGB,0.8125,0.6666666666666666,0.8,0.7272727272727272,undersampling
15,Logit,XGB,0.84375,0.7272727272727273,0.8,0.761904761904762,undersampling
16,Logit,XGB,0.8125,0.6666666666666666,0.8,0.7272727272727272,undersampling
17,Logit,XGB,0.90625,1.0,0.7,0.8235294117647058,undersampling
18,Logit,XGB,0.78125,0.6153846153846154,0.8,0.6956521739130435,undersampling
19,Logit,XGB,0.875,0.875,0.7,0.7777777777777777,undersampling
20,Logit,XGB,0.6875,0.5,0.5,0.5,undersampling
21,Logit,XGB,0.6875,0.5,0.6,0.5454545454545454,undersampling
22,Logit,XGB,0.8125,0.6666666666666666,0.8,0.7272727272727272,undersampling
23,Logit,XGB,0.75,0.5833333333333334,0.7,0.6363636363636365,undersampling
24,Logit,XGB,0.75,0.6,0.6,0.6,undersampling
25,Logit,XGB,0.8125,0.6666666666666666,0.8,0.7272727272727272,undersampling
26,Logit,XGB,0.71875,0.5384615384615384,0.7,0.608695652173913,undersampling
27,Logit,XGB,0.84375,0.6666666666666666,1.0,0.8,undersampling
28,Logit,XGB,0.59375,0.4210526315789473,0.8,0.5517241379310345,undersampling
29,Logit,XGB,0.75,0.6,0.6,0.6,undersampling
30,Logit,XGB,0.6875,0.5,0.8,0.6153846153846154,undersampling
31,Logit,XGB,0.75,0.6,0.6,0.6,undersampling
32,Logit,XGB,0.71875,0.5333333333333333,0.8,0.64,undersampling
33,Logit,XGB,0.78125,0.6666666666666666,0.6,0.631578947368421,undersampling
34,Logit,XGB,0.71875,0.5333333333333333,0.8,0.64,undersampling
35,Logit,XGB,0.78125,0.6363636363636364,0.7,0.6666666666666666,undersampling
36,Logit,XGB,0.65625,0.4615384615384615,0.6,0.5217391304347826,undersampling
37,Logit,XGB,0.75,0.5555555555555556,1.0,0.7142857142857143,undersampling
38,Logit,XGB,0.59375,0.4117647058823529,0.7,0.5185185185185185,undersampling
39,Logit,XGB,0.875,0.75,0.9,0.8181818181818182,undersampling
40,Logit,XGB,0.84375,0.7777777777777778,0.7,0.7368421052631577,undersampling
41,Logit,XGB,0.65625,0.4615384615384615,0.6,0.5217391304347826,undersampling
42,Logit,XGB,0.875,0.875,0.7,0.7777777777777777,undersampling
43,Logit,XGB,0.8125,0.6666666666666666,0.8,0.7272727272727272,undersampling
44,Logit,XGB,0.75,0.5714285714285714,0.8,0.6666666666666666,undersampling
45,Logit,XGB,0.6875,0.5,0.5,0.5,undersampling
46,Logit,XGB,0.6875,0.5,0.8,0.6153846153846154,undersampling
47,Logit,XGB,0.75,1.0,0.2,0.3333333333333333,undersampling
48,Logit,XGB,0.875,0.75,0.9,0.8181818181818182,undersampling
49,Logit,XGB,0.875,0.8,0.8,0.8000000000000002,undersampling
0,Logit,XGB,0.75,0.75,0.3,0.4285714285714285,oversampling
1,Logit,XGB,0.78125,0.6666666666666666,0.6,0.631578947368421,oversampling
2,Logit,XGB,0.84375,0.6923076923076923,0.9,0.7826086956521738,oversampling
3,Logit,XGB,0.75,0.6666666666666666,0.4,0.5,oversampling
4,Logit,XGB,0.78125,0.7142857142857143,0.5,0.588235294117647,oversampling
5,Logit,XGB,0.6875,0.5,0.8,0.6153846153846154,oversampling
6,Logit,XGB,0.78125,0.7142857142857143,0.5,0.588235294117647,oversampling
