repeat,iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
1,0,Logit,XGB,4,"Pattern_6341 (0.3546),Pattern_3681 (0.2602),Pattern_2264 (0.2099),Pattern_5030 (0.1753)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:4",0.75,0.6451612903225806,0.4878048780487805,0.5555555555555556,0.5625,0.1666666666666666,0.1,0.125,"E36,MSK2162,UWM1207,MSK2384,GL122,MSK2389,MSK2191,GL29,MSK807","E69,E63,E33,E27,E52"
2,0,Logit,XGB,10,"Pattern_6199 (0.6906),Pattern_4728 (0.0945),Pattern_3919 (0.0552),Pattern_3004 (0.0516),Pattern_6233 (0.0432),Pattern_6253 (0.0242),Pattern_3911 (0.0165),Pattern_6257 (0.0094),Pattern_1296 (0.0080),Pattern_6231 (0.0069)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:10",0.8203125,0.8214285714285714,0.5609756097560976,0.6666666666666667,0.53125,0.0,0.0,0.0,"E36,MSK2162,UWM1207,MSK2384,GL122,E7,MSK2389,MSK2191,GL29,MSK807","E27,E50,E9,MSK2413,MSK250"
3,0,Logit,XGB,8,"Pattern_4743 (0.2322),Pattern_4184 (0.1860),Pattern_5733 (0.1592),Pattern_5579 (0.1472),Pattern_5539 (0.1093),Pattern_4405 (0.0951),Pattern_3304 (0.0685),Pattern_4196 (0.0025)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:8",0.75,0.8,0.2926829268292683,0.4285714285714285,0.5625,0.0,0.0,0.0,"E36,MSK2162,UWM1207,MSK2384,GL122,E7,MSK2389,MSK2191,GL29,MSK807","MSK2415,UWM1204,MSK2413,GL18"
1,1,Logit,XGB,10,"Pattern_6703 (0.1983),Pattern_5277 (0.1802),Pattern_2715 (0.1416),Pattern_4000 (0.1245),Pattern_2832 (0.1005),Pattern_5004 (0.0844),Pattern_1152 (0.0593),Pattern_6293 (0.0487),Pattern_1255 (0.0467),Pattern_5895 (0.0159)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.796875,0.8947368421052632,0.4146341463414634,0.5666666666666667,0.28125,0.0,0.0,0.0,"E34,FM14,E7,MSK810,E32,GL23,CDC343,UWM1199,MSK624,MSK2199","E70,E9,E20,E63,UWM1204,E1,E12,E62,E80,E40,E74,E37,E47"
2,1,Logit,XGB,10,"Pattern_1465 (0.4534),Pattern_2460 (0.1323),Pattern_735 (0.1169),Pattern_4301 (0.0843),Pattern_4522 (0.0773),Pattern_4334 (0.0359),Pattern_5702 (0.0303),Pattern_6250 (0.0285),Pattern_6246 (0.0217),Pattern_5169 (0.0196)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.796875,0.7586206896551724,0.5365853658536586,0.6285714285714286,0.4375,0.1,0.1,0.1,"E34,FM14,MSK810,E32,GL23,CDC343,UWM1199,MSK624,MSK2199","E9,E20,E50,E78,MSK2415,UWM1204,E3,E12,E74"
3,1,Logit,XGB,6,"Pattern_1967 (0.3042),Pattern_1910 (0.2080),Pattern_2460 (0.1932),Pattern_3365 (0.1623),Pattern_6231 (0.0713),Pattern_3126 (0.0610)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:6",0.796875,0.7142857142857143,0.6097560975609756,0.6578947368421052,0.59375,0.0,0.0,0.0,"E34,FM14,E7,MSK810,E32,GL23,CDC343,UWM1199,MSK624,MSK2199","MSK814,E78,E3"
1,2,Logit,XGB,6,"Pattern_4842 (0.3852),Pattern_5707 (0.1693),Pattern_6342 (0.1624),Pattern_6147 (0.1461),Pattern_6112 (0.0728),Pattern_3104 (0.0643)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:6",0.7734375,0.7727272727272727,0.4146341463414634,0.5396825396825397,0.71875,0.6,0.3,0.4,"UWM1199,MSK2448,MSK67,E38,E32,MSK2640,GL23","E65,E69"
2,2,Logit,XGB,2,"Pattern_6152 (0.6003),Pattern_4367 (0.3997)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.7265625,0.6875,0.2682926829268293,0.3859649122807017,0.59375,0.0,0.0,0.0,"UWM1199,MSK2448,MSK67,E38,MSK812,E32,MSK808,MSK2640,GL23,MSK2389","E12,E66,MSK2499"
3,2,Logit,XGB,6,"Pattern_5225 (0.4117),Pattern_4914 (0.2639),Pattern_4136 (0.1085),Pattern_4174 (0.0927),Pattern_4907 (0.0920),Pattern_3824 (0.0312)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:6",0.7578125,0.8571428571428571,0.2926829268292683,0.4363636363636364,0.5625,0.0,0.0,0.0,"UWM1199,MSK2448,MSK67,E38,MSK812,E32,MSK808,MSK2640,GL23,MSK2389","E3,CDC340,MSK2499,E59"
1,3,Logit,XGB,6,"Pattern_2020 (0.4093),Pattern_2371 (0.2465),Pattern_1830 (0.0961),Pattern_5462 (0.0957),Pattern_1826 (0.0947),Pattern_3621 (0.0578)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:6",0.7578125,0.6785714285714286,0.4634146341463415,0.5507246376811594,0.625,0.25,0.1,0.1428571428571428,"CDC344,MSK802,E38,MSK2191,MSK1394,GL23,MSK2448,UWM1207,MSK810","E53,E14,MSK2406"
