iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
0,Logit,XGB,2,"Pattern_1544 (0.5489),Pattern_472 (0.4511)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.8671875,0.8,0.7804878048780488,0.7901234567901235,0.75,0.75,0.3,0.4285714285714285,"E36,UWM1207,MSK2384,GL122,E7,MSK2191,MSK807",E27
1,Logit,XGB,4,"Pattern_1544 (0.7703),Pattern_452 (0.1198),Pattern_330 (0.1018),Pattern_585 (0.0081)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:4",0.8671875,0.8,0.7804878048780488,0.7901234567901235,0.78125,0.7142857142857143,0.5,0.588235294117647,"E34,FM14,E7,E32,MSK2199","MSK814,E1"
2,Logit,XGB,6,"Pattern_1544 (0.3851),Pattern_1622 (0.3125),Pattern_452 (0.1733),Pattern_472 (0.0835),Pattern_585 (0.0363),Pattern_920 (0.0093)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:6",0.859375,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.875,0.8,0.8,0.8000000000000002,"E38,E32","E12,MSK1666"
3,Logit,XGB,10,"Pattern_1622 (0.4981),Pattern_585 (0.2663),Pattern_2669 (0.0873),Pattern_452 (0.0498),Pattern_330 (0.0309),Pattern_727 (0.0249),Pattern_762 (0.0188),Pattern_1525 (0.0119),Pattern_559 (0.0068),Pattern_1544 (0.0052)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:10",0.8671875,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.875,1.0,0.6,0.7499999999999999,"CDC344,E38,MSK2191,UWM1207",
4,Logit,XGB,10,"Pattern_1544 (0.9083),Pattern_1622 (0.0382),Pattern_452 (0.0356),Pattern_330 (0.0046),Pattern_920 (0.0042),Pattern_2669 (0.0041),Pattern_727 (0.0014),Pattern_472 (0.0014),Pattern_559 (0.0013),Pattern_585 (0.0009)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8828125,0.8611111111111112,0.7560975609756098,0.8051948051948052,0.8125,0.7,0.7,0.7,"E7,E38,E30","E12,UWM1206,CDC338"
5,Logit,XGB,10,"Pattern_472 (0.2801),Pattern_1622 (0.2777),Pattern_762 (0.1740),Pattern_1573 (0.0927),Pattern_2669 (0.0686),Pattern_1544 (0.0668),Pattern_452 (0.0293),Pattern_995 (0.0109),Pattern_585 (0.0000),Pattern_559 (0.0000)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:10",0.8671875,0.8529411764705882,0.7073170731707317,0.7733333333333334,0.90625,0.8888888888888888,0.8,0.8421052631578948,"E32,UWM1207",MSK1666
6,Logit,XGB,10,"Pattern_1544 (0.6946),Pattern_472 (0.1209),Pattern_2669 (0.0742),Pattern_1622 (0.0577),Pattern_762 (0.0211),Pattern_330 (0.0119),Pattern_727 (0.0078),Pattern_1525 (0.0071),Pattern_585 (0.0026),Pattern_920 (0.0022)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.875,0.8571428571428571,0.7317073170731707,0.7894736842105263,0.84375,0.8571428571428571,0.6,0.7058823529411764,"MSK807,UWM1207,E36,E34",UWM1206
7,Logit,XGB,10,"Pattern_1622 (0.5534),Pattern_472 (0.3449),Pattern_452 (0.0478),Pattern_727 (0.0191),Pattern_920 (0.0089),Pattern_330 (0.0089),Pattern_1527 (0.0084),Pattern_585 (0.0061),Pattern_1544 (0.0025),Pattern_1525 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8671875,0.8529411764705882,0.7073170731707317,0.7733333333333334,0.875,0.8,0.8,0.8000000000000002,"MSK2191,FM14","MSK1666,MSK800"
8,Logit,XGB,2,"Pattern_472 (0.6172),Pattern_1544 (0.3828)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.828125,0.7567567567567568,0.6829268292682927,0.7179487179487181,0.90625,0.8181818181818182,0.9,0.8571428571428572,E34,"CDC339,E60"
9,Logit,XGB,4,"Pattern_1544 (0.9128),Pattern_727 (0.0454),Pattern_452 (0.0364),Pattern_920 (0.0054)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:4",0.8515625,0.84375,0.6585365853658537,0.7397260273972602,0.84375,0.6666666666666666,1.0,0.8,,"MSK814,MSK1666,MSK813,E39,CDC339"
10,Logit,XGB,4,"Pattern_472 (0.6139),Pattern_1544 (0.3729),Pattern_452 (0.0127),Pattern_920 (0.0005)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.84375,0.7837837837837838,0.7073170731707317,0.7435897435897435,0.84375,0.8571428571428571,0.6,0.7058823529411764,"E54,MSK2191,GL122,FM14",UWM1206
11,Logit,XGB,10,"Pattern_1544 (0.6567),Pattern_452 (0.1764),Pattern_2669 (0.1371),Pattern_2284 (0.0130),Pattern_762 (0.0114),Pattern_585 (0.0030),Pattern_472 (0.0013),Pattern_920 (0.0012),Pattern_559 (0.0000),Pattern_330 (0.0000)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:10",0.8828125,0.8421052631578947,0.7804878048780488,0.810126582278481,0.6875,0.5,0.6,0.5454545454545454,"E30,E34,FM14,E54","E39,MSK620,E59,UWM1196,MSK2425,E27"
12,Logit,XGB,6,"Pattern_1544 (0.9406),Pattern_472 (0.0387),Pattern_1622 (0.0116),Pattern_2669 (0.0082),Pattern_559 (0.0010),Pattern_585 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:6",0.859375,0.8108108108108109,0.7317073170731707,0.7692307692307694,0.90625,1.0,0.7,0.8235294117647058,"E36,MSK2199,UWM1207",
13,Logit,XGB,8,"Pattern_1544 (0.9287),Pattern_762 (0.0445),Pattern_920 (0.0118),Pattern_2669 (0.0082),Pattern_472 (0.0028),Pattern_585 (0.0027),Pattern_2284 (0.0007),Pattern_452 (0.0006)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:8",0.8671875,0.8529411764705882,0.7073170731707317,0.7733333333333334,0.8125,0.6666666666666666,0.8,0.7272727272727272,"E36,E54","MSK813,CDC339,MSK800,E27"
14,Logit,XGB,8,"Pattern_1544 (0.5157),Pattern_452 (0.2152),Pattern_472 (0.1166),Pattern_2669 (0.0860),Pattern_727 (0.0358),Pattern_920 (0.0177),Pattern_1525 (0.0065),Pattern_585 (0.0064)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:8",0.84375,0.7692307692307693,0.7317073170731707,0.7499999999999999,0.84375,0.7272727272727273,0.8,0.761904761904762,"FM14,E30","E27,MSK2386,CDC338"
15,Logit,XGB,10,"Pattern_1544 (0.4899),Pattern_920 (0.2949),Pattern_472 (0.1023),Pattern_727 (0.0437),Pattern_585 (0.0308),Pattern_1622 (0.0214),Pattern_1528 (0.0107),Pattern_1527 (0.0044),Pattern_452 (0.0019),Pattern_1525 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:10",0.8515625,0.8235294117647058,0.6829268292682927,0.7466666666666667,0.9375,1.0,0.8,0.888888888888889,"E34,E36",
16,Logit,XGB,10,"Pattern_472 (0.7241),Pattern_1622 (0.1441),Pattern_920 (0.0375),Pattern_1544 (0.0361),Pattern_1573 (0.0125),Pattern_452 (0.0124),Pattern_2669 (0.0123),Pattern_727 (0.0078),Pattern_585 (0.0073),Pattern_559 (0.0059)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:10",0.8828125,0.8823529411764706,0.7317073170731707,0.8,0.78125,0.6363636363636364,0.7,0.6666666666666666,"E36,E38,MSK2199","CDC339,UWM1206,MSK800,UWM1198"
17,Logit,XGB,4,"Pattern_1544 (0.4459),Pattern_472 (0.2745),Pattern_452 (0.2643),Pattern_920 (0.0153)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:4",0.828125,0.7567567567567568,0.6829268292682927,0.7179487179487181,0.90625,1.0,0.7,0.8235294117647058,"UWM1207,GL62,E30",
18,Logit,XGB,2,"Pattern_920 (0.6202),Pattern_452 (0.3798)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.84375,0.7692307692307693,0.7317073170731707,0.7499999999999999,0.78125,0.6363636363636364,0.7,0.6666666666666666,"E7,MSK2384,E34","MSK800,UWM1196,MSK2425,E59"
19,Logit,XGB,2,"Pattern_1544 (0.6465),Pattern_727 (0.3535)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:2",0.828125,0.7435897435897436,0.7073170731707317,0.725,0.90625,1.0,0.7,0.8235294117647058,"E36,UWM1207,E46",
20,Logit,XGB,2,"Pattern_1525 (0.5717),Pattern_727 (0.4283)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.8515625,0.75,0.8048780487804879,0.7764705882352942,0.6875,0.5,0.5,0.5,"GL79,CDC344,MSK807,UWM1207,E34","MSK1258,MSK2415,MSK2422,MSK1090,E27"
21,Logit,XGB,10,"Pattern_1544 (0.7521),Pattern_452 (0.1003),Pattern_727 (0.0624),Pattern_472 (0.0355),Pattern_2091 (0.0180),Pattern_585 (0.0130),Pattern_1525 (0.0087),Pattern_744 (0.0065),Pattern_920 (0.0017),Pattern_330 (0.0017)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:10",0.8671875,0.8157894736842105,0.7560975609756098,0.7848101265822786,0.8125,0.75,0.6,0.6666666666666665,"MSK2199,E54,E32,E30","CDC339,MSK800"
22,Logit,XGB,8,"Pattern_1622 (0.4805),Pattern_1544 (0.2750),Pattern_920 (0.0586),Pattern_104 (0.0513),Pattern_3149 (0.0424),Pattern_1573 (0.0365),Pattern_472 (0.0349),Pattern_452 (0.0208)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:8",0.8828125,0.8421052631578947,0.7804878048780488,0.810126582278481,0.75,0.6,0.6,0.6,"GL62,E36,E38,UWM1207","MSK844,MSK813,UWM1198,MSK814"
23,Logit,XGB,2,"Pattern_1544 (0.7104),Pattern_452 (0.2896)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.84375,0.7692307692307693,0.7317073170731707,0.7499999999999999,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E30,FM14,E34","MSK1666,MSK814"
24,Logit,XGB,10,"Pattern_1544 (0.6448),Pattern_920 (0.1710),Pattern_1622 (0.0745),Pattern_1573 (0.0390),Pattern_1710 (0.0177),Pattern_585 (0.0167),Pattern_452 (0.0142),Pattern_635 (0.0103),Pattern_304 (0.0070),Pattern_472 (0.0049)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8671875,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.84375,1.0,0.5,0.6666666666666666,"E36,E7,UWM1207,GL122,E34",
25,Logit,XGB,8,"Pattern_1544 (0.9078),Pattern_472 (0.0493),Pattern_452 (0.0175),Pattern_1622 (0.0098),Pattern_727 (0.0094),Pattern_1145 (0.0031),Pattern_585 (0.0020),Pattern_920 (0.0013)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:8",0.859375,0.8484848484848485,0.6829268292682927,0.7567567567567567,0.875,0.8,0.8,0.8000000000000002,"E34,E30","MSK814,MSK620"
26,Logit,XGB,8,"Pattern_472 (0.3224),Pattern_585 (0.3198),Pattern_1544 (0.1569),Pattern_1622 (0.1393),Pattern_452 (0.0375),Pattern_2669 (0.0103),Pattern_727 (0.0080),Pattern_330 (0.0058)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:8",0.8671875,0.875,0.6829268292682927,0.767123287671233,0.875,0.8,0.8,0.8000000000000002,"UWM1207,MSK2191","CDC339,MSK800"
