iteration,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
0,0.78125,1.0,0.3,0.4615384615384615,"E36,E7,GL122,MSK2191,MSK2384,MSK807,UWM1207",
1,0.84375,1.0,0.5,0.6666666666666666,"E32,E34,E7,FM14,MSK2199",
2,0.875,0.875,0.7,0.7777777777777777,"E32,E38,MSK2448",MSK1666
3,0.8125,1.0,0.4,0.5714285714285715,"CDC344,E38,GL23,MSK2191,MSK2448,UWM1207",
4,0.8125,0.8333333333333334,0.5,0.625,"CDC344,E30,E38,E7,MSK2448",UWM1206
5,0.90625,0.8888888888888888,0.8,0.8421052631578948,"E32,UWM1207",MSK1666
6,0.84375,0.8571428571428571,0.6,0.7058823529411764,"E34,E36,MSK807,UWM1207",UWM1206
7,0.875,0.8,0.8,0.8000000000000002,"FM14,MSK2191","MSK1666,MSK800"
8,0.90625,0.8888888888888888,0.8,0.8421052631578948,"E34,GL122",CDC339
9,0.90625,0.7692307692307693,1.0,0.8695652173913044,,"CDC339,MSK1666,MSK813"
10,0.78125,0.7142857142857143,0.5,0.588235294117647,"E54,FM14,GL122,MSK2191,MSK2448","GL28,UWM1206"
11,0.75,0.625,0.5,0.5555555555555556,"E30,E34,E54,FM14,MSK807","E27,E39,MSK620"
12,0.90625,1.0,0.7,0.8235294117647058,"E36,MSK2199,UWM1207",
13,0.84375,0.7272727272727273,0.8,0.761904761904762,"E36,E54","CDC339,MSK800,MSK813"
14,0.90625,0.8888888888888888,0.8,0.8421052631578948,"E30,FM14",GL28
15,0.9375,1.0,0.8,0.888888888888889,"E34,E36",
16,0.78125,0.6666666666666666,0.6,0.631578947368421,"E36,E38,MSK2199,MSK2384","CDC339,MSK800,UWM1206"
17,0.875,1.0,0.6,0.7499999999999999,"E30,GL62,MSK2448,UWM1207",
18,0.875,0.875,0.7,0.7777777777777777,"E34,E7,MSK2384",MSK800
19,0.90625,1.0,0.7,0.8235294117647058,"E36,E46,UWM1207",
20,0.84375,1.0,0.5,0.6666666666666666,"CDC344,E34,GL79,MSK807,UWM1207",
21,0.78125,0.6666666666666666,0.6,0.631578947368421,"E30,E32,E54,MSK2199","CDC339,GL28,MSK800"
22,0.8125,0.8333333333333334,0.5,0.625,"E36,E38,GL122,GL62,UWM1207",MSK813
23,0.78125,0.6666666666666666,0.6,0.631578947368421,"E30,E34,FM14,MSK2384","CDC336,CDC337,MSK1666"
24,0.84375,1.0,0.5,0.6666666666666666,"E34,E36,E7,GL122,UWM1207",
25,0.8125,0.75,0.6,0.6666666666666665,"E30,E34,MSK2384,MSK2448","GL28,MSK620"
26,0.875,0.8,0.8,0.8000000000000002,"MSK2191,UWM1207","CDC339,MSK800"
27,0.96875,1.0,0.9,0.9473684210526316,CDC344,
28,0.8125,0.75,0.6,0.6666666666666665,"E54,GL122,GL79,MSK2199","GL28,MSK620"
29,0.875,0.875,0.7,0.7777777777777777,"E34,GL122,GL62",GL28
30,0.75,0.625,0.5,0.5555555555555556,"E36,E46,E54,GL122,MSK2448","MSK1666,MSK800,UWM1206"
31,0.84375,0.8571428571428571,0.6,0.7058823529411764,"CDC344,E32,E46,MSK2191",MSK800
32,0.90625,1.0,0.7,0.8235294117647058,"E30,MSK2384,MSK807",
33,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E30,E34,FM14","MSK813,UWM1206"
34,0.875,0.875,0.7,0.7777777777777777,"CDC344,E32,MSK2191",UWM1206
35,0.84375,0.8571428571428571,0.6,0.7058823529411764,"CDC344,E34,E7,UWM1207",UWM1206
36,0.78125,0.6666666666666666,0.6,0.631578947368421,"E32,E7,GL122,MSK2384","E1,E27,E39"
37,0.90625,1.0,0.7,0.8235294117647058,"CDC344,E32,MSK2448",
38,0.84375,0.8571428571428571,0.6,0.7058823529411764,"E34,E36,MSK2191,MSK2448",MSK813
39,0.875,1.0,0.6,0.7499999999999999,"E32,E38,MSK2199,MSK2448",
40,0.875,0.875,0.7,0.7777777777777777,"E46,GL62,MSK2199",MSK1666
41,0.75,0.6,0.6,0.6,"E54,FM14,MSK2199,UWM1207","CDC339,MSK1666,MSK620,UWM1206"
42,0.84375,1.0,0.5,0.6666666666666666,"E34,E36,E46,MSK2384,UWM1207",
43,0.8125,0.75,0.6,0.6666666666666665,"E32,E38,GL79,MSK2384","MSK800,UWM1206"
44,0.84375,1.0,0.5,0.6666666666666666,"E32,E34,E36,GL62,MSK2448",
45,0.8125,0.8333333333333334,0.5,0.625,"CDC344,E54,GL23,MSK2199,MSK807",UWM1206
46,0.8125,0.75,0.6,0.6666666666666665,"E36,E38,FM14,GL62","MSK1666,MSK620"
47,0.75,1.0,0.2,0.33333333333333337,"E38,FM14,GL122,GL62,MSK2199,MSK2384,MSK807,UWM1207",
48,0.875,0.8,0.8,0.8000000000000002,"E32,E7","CDC339,GL28"
49,0.84375,0.8571428571428571,0.6,0.7058823529411764,"E46,E54,GL122,MSK2448",MSK620
