Strain,Score,Is_HR_Mica4,Is_HR_NMF,Source,ASV
808,0.9904055912762353,True,True,MSKotherBSI,ASV_1
1129,0.8549117021902545,True,True,MSKalloHCTfecal,ASV_3
1,0.8136082982877858,True,True,MSKalloHCTfecal,ASV_3
1119,0.8001702132620715,True,True,MSKalloHCTfecal,ASV_3
794,0.762030332701795,True,True,MSKalloHCTBSI,ASV_1
799,0.7117056775407751,True,True,MSKotherBSI,ASV_1
802,0.6729777075244023,True,True,MSKalloHCTBSI,ASV_1
2,0.6720276838196665,True,True,MSKalloHCTfecal,ASV_3
2640,0.6667480528785465,True,True,MSKalloHCTfecal,ASV_1
297,0.659646071042151,True,True,MSKalloHCTfecal,ASV_3
489,0.6588918137149469,True,True,MSKalloHCTBSI,ASV_1
5,0.634745858453053,True,True,MSKalloHCTfecal,ASV_3
478,0.6197170432159548,True,True,MSKalloHCTBSI,ASV_3
1004,0.6105925776419119,True,True,MSKalloHCTfecal,ASV_3
51,0.5900914500362118,True,True,MSKalloHCTfecal,ASV_3
795,0.5866341773741721,True,True,MSKalloHCTBSI,ASV_1
1015,0.5852514675121769,True,True,MSKalloHCTfecal,ASV_3
1762,0.5779073445728256,True,True,MSKalloHCTfecal,ASV_3
812,0.5747237540596971,True,True,MSKalloHCTBSI,ASV_3
2649,0.5694579354419578,True,True,MSKalloHCTfecal,ASV_1
33,0.5666721056373271,True,True,MSKalloHCTfecal,ASV_3
296,0.5655923378505356,True,True,MSKalloHCTfecal,ASV_3
2057,0.5555266921540046,True,True,MSKalloHCTfecal,ASV_3
315,0.5408247867857949,True,True,MSKalloHCTfecal,ASV_3
34,0.5372786804057252,True,True,MSKalloHCTfecal,ASV_3
543,0.5367803007839446,True,True,MSKalloHCTfecal,ASV_3
2094,0.5193130115590592,True,True,MSKalloHCTfecal,ASV_3
67,0.5089902182027024,True,True,MSKalloHCTBSI,ASV_3
520,0.49475452632937933,True,True,MSKalloHCTfecal,ASV_3
624,0.4922521590901096,True,True,MSKalloHCTfecal,ASV_3
485,0.4920980285893193,True,True,MSKalloHCTBSI,ASV_3
544,0.4914331833677513,True,True,MSKalloHCTfecal,ASV_3
522,0.48371665616740955,True,True,MSKalloHCTfecal,ASV_3
314,0.48182956344241545,True,True,MSKalloHCTfecal,ASV_3
49,0.4761589304411611,True,True,MSKalloHCTfecal,ASV_3
264,0.4713641088886755,True,True,MSKalloHCTfecal,ASV_3
2646,0.4681858131503117,True,True,MSKalloHCTfecal,ASV_1
65,0.45777910690354096,True,True,MSKalloHCTBSI,ASV_3
282,0.4522169156650231,True,True,MSKalloHCTfecal,ASV_3
2648,0.4509743749894548,True,True,MSKalloHCTfecal,ASV_1
2162,0.44707548393855434,True,True,MSKalloHCTfecal,ASV_3
2647,0.4462383960016342,True,True,MSKalloHCTfecal,ASV_1
17,0.43821186038494186,True,True,MSKalloHCTfecal,ASV_3
2387,0.4379000732067362,True,True,MSKalloHCTBSI,ASV_1
2161,0.4312132468773625,True,True,MSKalloHCTfecal,ASV_1
1394,0.4222147416536796,True,True,MSKalloHCTfecal,ASV_1
18,0.40409841238378663,True,True,MSKalloHCTfecal,ASV_3
2384,0.40033424559247677,True,True,MSKalloHCTBSI,ASV_1
2389,0.37606751976546937,True,True,MSKotherBSI,ASV_1
1399,0.37493652329128047,True,True,MSKalloHCTfecal,ASV_1
2456,0.36227274379391994,True,True,MSKalloHCTfecal,ASV_1
2390,0.34169791570082353,True,True,MSKalloHCTBSI,ASV_1
2199,0.3356343278156759,True,True,MSKalloHCTfecal,ASV_1
810,0.33398428028581373,True,True,MSKotherBSI,ASV_1
2191,0.31811264136103623,True,True,MSKalloHCTfecal,ASV_1
809,0.3175880700113115,False,True,MSKotherBSI,ASV_1
2107,0.2898740707860419,True,True,MSKalloHCTfecal,ASV_1
2108,0.27918846157053356,True,True,MSKalloHCTfecal,ASV_1
803,0.27363654016833083,True,True,MSKotherBSI,ASV_1
490,0.2641297554818827,True,True,MSKalloHCTBSI,ASV_1
2448,0.26191104101258644,True,True,MSKalloHCTfecal,ASV_1
806,0.26157584898644676,True,True,MSKotherBSI,ASV_1
800,0.1866132643815423,False,False,MSKotherBSI,ASV_1
807,0.1702310203084111,True,False,MSKotherBSI,ASV_1
2499,0.15983474245495546,False,False,MSKalloHCTfecal,ASV_1
1398,0.15233298068008827,True,False,MSKalloHCTfecal,ASV_1
2426,0.1509031729826134,False,False,MSKalloHCTfecal,ASV_1
2425,0.1387908528293347,False,False,MSKalloHCTfecal,ASV_1
1298,0.12623248909784782,False,False,MSKalloHCTfecal,ASV_1
2529,0.12488407869679442,True,False,MSKalloHCTfecal,ASV_1
1324,0.12178418595838723,False,False,MSKalloHCTfecal,ASV_1
2233,0.09447538860771698,False,False,MSKalloHCTfecal,ASV_1
1895,0.05616487058837998,False,False,MSKalloHCTfecal,ASV_1
2413,0.05431326427879432,False,False,MSKalloHCTfecal,ASV_1
249,0.04720842272232269,False,False,MSKalloHCTfecal,ASV_1
813,0.04325320882620229,False,False,MSKotherBSI,ASV_1
815,0.0388938800558882,False,False,MSKotherBSI,ASV_1
1325,0.0314706671357631,False,False,MSKalloHCTfecal,ASV_1
1700,0.02994179432860663,False,False,MSKalloHCTfecal,ASV_1
846,0.014380390400546145,False,False,MSKhealthydonor,ASV_1
2234,0.014124512278318232,False,False,MSKalloHCTfecal,ASV_1
1241,0.01355852006592897,False,False,MSKalloHCTfecal,ASV_1
814,0.01355852006592897,False,False,MSKotherBSI,ASV_1
925,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
923,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
848,0.013358098091234227,False,False,MSKhealthydonor,ASV_1
1191,0.013358098091234227,False,False,MSKalloHCTBSI,ASV_1
281,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
1302,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
1082,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
1258,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
265,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
1286,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
2524,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
250,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
1882,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
891,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
2386,0.013358098091234227,False,False,MSKalloHCTBSI,ASV_1
2123,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
811,0.013358098091234227,False,False,MSKalloHCTBSI,ASV_1
2412,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
850,0.013358098091234227,False,False,MSKhealthydonor,ASV_1
844,0.013358098091234227,False,False,MSKhealthydonor,ASV_1
2406,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
1666,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
2124,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
2399,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
1884,0.013358098091234227,False,False,MSKalloHCTfecal,ASV_1
2159,0.012660144406460148,False,False,MSKalloHCTfecal,ASV_1
1894,0.009776812207982362,False,False,MSKalloHCTfecal,ASV_1
1891,0.009776812207982362,False,False,MSKalloHCTfecal,ASV_1
2422,0.009562610896221624,False,False,MSKalloHCTfecal,ASV_1
2415,0.002702818432709142,False,False,MSKalloHCTfecal,ASV_1
1090,0.001971636506196528,False,False,MSKalloHCTfecal,ASV_1
804,0.0008203643419249815,False,False,MSKalloHCTBSI,ASV_1
247,0.0008203643419249815,False,False,MSKalloHCTfecal,ASV_1
620,0.000749762544336785,False,False,MSKalloHCTfecal,ASV_1
1892,0.00017831521980971043,False,False,MSKalloHCTfecal,ASV_1
