Pattern,Lasso,PhyloLasso
Pattern_4020,-0.019563354282167583,-0.0
Pattern_4054,-0.016258986203442193,-0.0
Pattern_212,-0.007648822815206586,-0.08039975655113887
Pattern_667,-0.007613362421244704,-0.07136158845640275
Pattern_206,-0.0,-0.0
Pattern_1727,0.0,0.0
Pattern_1726,-0.0,-0.0
Pattern_1725,0.0,0.0
Pattern_1724,-0.0,-0.0
Pattern_1723,-0.0,-0.0
Pattern_1722,-0.0,-0.0
Pattern_1721,-0.0,-0.0
Pattern_1187,-0.0,-0.0
Pattern_1720,-0.0,-0.0
Pattern_1719,-0.0,-0.0
Pattern_1717,-0.0,-0.0
Pattern_1728,0.0,0.0
Pattern_1716,-0.0,0.0
Pattern_1715,-0.0,-0.0
Pattern_1186,0.0,0.0
Pattern_1714,-0.0,-0.0
Pattern_1713,-0.0,-0.0
Pattern_1712,-0.0,-0.0
Pattern_1711,0.0,0.0
Pattern_1710,0.0,0.0
Pattern_1709,0.0,0.0
Pattern_1718,0.0,0.0
Pattern_1729,-0.0,-0.0
Pattern_1731,0.0,0.0
Pattern_1233,-0.0,-0.0
Pattern_1190,0.0,0.0
Pattern_1750,0.0,0.0
Pattern_1749,-0.0,-0.0
Pattern_1748,0.0,0.0
Pattern_1747,-0.0,-0.0
Pattern_1746,-0.0,-0.0
Pattern_1745,0.0,0.0
Pattern_1744,0.0,0.0
Pattern_1743,0.0,-0.0
Pattern_1742,0.0,0.0
Pattern_1730,-0.0,0.0
Pattern_1741,-0.0,-0.0
Pattern_1739,-0.0,0.0
Pattern_1738,0.0,-0.0
Pattern_1737,-0.0,-0.0
Pattern_524,-0.0,-0.0
Pattern_1736,0.0,0.0
Pattern_1189,0.0,0.0
Pattern_1735,0.0,-0.0
Pattern_1734,-0.0,-0.0
Pattern_1733,-0.0,-0.0
Pattern_1732,0.0,0.0
Pattern_1740,-0.0,0.0
Pattern_1708,0.0,0.0
Pattern_1707,-0.0,0.0
Pattern_1706,-0.0,-0.0
Pattern_1682,-0.0,-0.0
Pattern_1681,-0.0,-0.0
Pattern_1680,-0.0,-0.0
