Isolate,Chromosome,BinStartPos,BinStopPos,CopyNumber
E15,cpar_Chr_1,1,5000,1.91327136506709
E15,cpar_Chr_1,5001,10000,1.990869847934126
E15,cpar_Chr_1,10001,15000,1.987521428103008
E15,cpar_Chr_1,15001,20000,1.9693393773664245
E15,cpar_Chr_1,20001,25000,1.8910184614536336
E15,cpar_Chr_1,25001,30000,1.9581605041141994
E15,cpar_Chr_1,30001,35000,1.9874133088716708
E15,cpar_Chr_1,35001,40000,2.0253598827307773
E15,cpar_Chr_1,40001,45000,1.9914088059206416
E15,cpar_Chr_1,45001,50000,1.9961627757591465
E15,cpar_Chr_1,50001,55000,2.0029906690351242
E15,cpar_Chr_1,55001,60000,1.9734773952203402
E15,cpar_Chr_1,60001,65000,1.9535998383559643
E15,cpar_Chr_1,65001,70000,1.956363431435757
E15,cpar_Chr_1,70001,75000,2.0179651825753635
E15,cpar_Chr_1,75001,80000,1.9795582828979867
E15,cpar_Chr_1,80001,85000,1.9593629210202859
E15,cpar_Chr_1,85001,90000,1.9214065181401485
E15,cpar_Chr_1,90001,95000,2.0913650352921276
E15,cpar_Chr_1,95001,100000,2.004922071667653
E15,cpar_Chr_1,100001,105000,1.9283228726054027
E15,cpar_Chr_1,105001,110000,1.840131981407639
E15,cpar_Chr_1,110001,115000,2.057413958481992
E15,cpar_Chr_1,115001,120000,2.0180372620629217
E15,cpar_Chr_1,120001,125000,1.94602985399217
E15,cpar_Chr_1,125001,130000,2.0539344850371317
E15,cpar_Chr_1,130001,135000,1.9896494111561502
E15,cpar_Chr_1,135001,140000,1.8651714124832925
E15,cpar_Chr_1,140001,145000,1.973970484442046
E15,cpar_Chr_1,145001,150000,2.0308395619553807
E15,cpar_Chr_1,150001,155000,2.194297819865738
E15,cpar_Chr_1,155001,160000,2.0760645258877046
E15,cpar_Chr_1,160001,165000,1.916922846379987
E15,cpar_Chr_1,165001,170000,2.066122471115173
E15,cpar_Chr_1,170001,175000,2.0127967556833983
E15,cpar_Chr_1,175001,180000,1.9681484276515406
E15,cpar_Chr_1,180001,185000,1.9290207330985807
E15,cpar_Chr_1,185001,190000,1.8172827838516545
E15,cpar_Chr_1,190001,195000,2.0348022956009157
E15,cpar_Chr_1,195001,200000,1.9557032488565296
E15,cpar_Chr_1,200001,205000,2.065691632359995
E15,cpar_Chr_1,205001,210000,2.0581544113996366
E15,cpar_Chr_1,210001,215000,2.088088694948568
E15,cpar_Chr_1,215001,220000,2.129226424302302
E15,cpar_Chr_1,220001,225000,1.9991884760664236
E15,cpar_Chr_1,225001,230000,1.9422292991936412
E15,cpar_Chr_1,230001,235000,1.985224713522173
E15,cpar_Chr_1,235001,240000,2.019306843946051
E15,cpar_Chr_1,240001,245000,2.033678510863075
E15,cpar_Chr_1,245001,250000,1.9933369322128263
E15,cpar_Chr_1,250001,255000,1.9632928912623853
E15,cpar_Chr_1,255001,260000,2.019260975181241
E15,cpar_Chr_1,260001,265000,2.0042356783656774
E15,cpar_Chr_1,265001,270000,2.017098590554492
E15,cpar_Chr_1,270001,275000,2.042157679672207
E15,cpar_Chr_1,275001,280000,2.118579956355905
E15,cpar_Chr_1,280001,285000,2.0383227233000705
E15,cpar_Chr_1,285001,290000,1.9368331666477985
E15,cpar_Chr_1,290001,295000,2.0752847568859374
E15,cpar_Chr_1,295001,300000,2.0652886424977375
E15,cpar_Chr_1,300001,305000,1.951357183390798
E15,cpar_Chr_1,305001,310000,1.8040201581409254
E15,cpar_Chr_1,310001,315000,1.8994108072436615
E15,cpar_Chr_1,315001,320000,2.0171002287246638
E15,cpar_Chr_1,320001,325000,2.0807726269613998
E15,cpar_Chr_1,325001,330000,2.0628035383471475
E15,cpar_Chr_1,330001,335000,2.0800600229366757
E15,cpar_Chr_1,335001,340000,2.024788161340826
E15,cpar_Chr_1,340001,345000,1.8446500547414073
E15,cpar_Chr_1,345001,350000,2.002943162100143
E15,cpar_Chr_1,350001,355000,2.054072091331561
E15,cpar_Chr_1,355001,360000,2.028955666257834
E15,cpar_Chr_1,360001,365000,1.8602749218398427
E15,cpar_Chr_1,365001,370000,2.1945795851352843
E15,cpar_Chr_1,370001,375000,2.076329909455533
E15,cpar_Chr_1,375001,380000,2.178964547057879
E15,cpar_Chr_1,380001,385000,2.0963647306563997
E15,cpar_Chr_1,385001,390000,1.9501252794216195
E15,cpar_Chr_1,390001,395000,1.9097443846872482
E15,cpar_Chr_1,395001,400000,2.032905294541995
E15,cpar_Chr_1,400001,405000,2.071128719160132
E15,cpar_Chr_1,405001,410000,2.0276025376959437
E15,cpar_Chr_1,410001,415000,2.0636504723259574
E15,cpar_Chr_1,415001,420000,1.8664196981541887
E15,cpar_Chr_1,420001,425000,2.022111391280138
E15,cpar_Chr_1,425001,430000,1.983208126040712
E15,cpar_Chr_1,430001,435000,1.9840468691686632
E15,cpar_Chr_1,435001,440000,2.0699525129767946
E15,cpar_Chr_1,440001,445000,2.0525813564752418
E15,cpar_Chr_1,445001,450000,2.0046763461418857
E15,cpar_Chr_1,450001,455000,1.9638203820576985
E15,cpar_Chr_1,455001,460000,1.9876524817167505
E15,cpar_Chr_1,460001,465000,1.9541453490231673
E15,cpar_Chr_1,465001,470000,1.9782919773552008
E15,cpar_Chr_1,470001,475000,1.7412372863074659
E15,cpar_Chr_1,475001,480000,1.7949758206225295
E15,cpar_Chr_1,480001,485000,1.9735347311763525
E15,cpar_Chr_1,485001,490000,1.856688967333817
E15,cpar_Chr_1,490001,495000,2.009322196749053
E15,cpar_Chr_1,495001,500000,2.0016440931539217
E15,cpar_Chr_1,500001,505000,2.0732829129360226
E15,cpar_Chr_1,505001,510000,1.9750811638185126
E15,cpar_Chr_1,510001,515000,1.922630231258468
E15,cpar_Chr_1,515001,520000,2.0902363360437715
E15,cpar_Chr_1,520001,525000,1.9631864102012195
E15,cpar_Chr_1,525001,530000,1.9901392240375122
E15,cpar_Chr_1,530001,535000,2.030367768945908
E15,cpar_Chr_1,535001,540000,2.047616062684577
E15,cpar_Chr_1,540001,545000,2.0346941763695785
E15,cpar_Chr_1,545001,550000,1.9662907426767424
