@HD	VN:1.6
@SQ	SN:Contig005504_C_parapsilosis_CDC317	LN:898305	M5:e984704923a1a20d09ff8f42fc5d4404	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig005569_C_parapsilosis_CDC317	LN:2235583	M5:f4efb2243aa065c7c3dcc7261b5b9212	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig005806_C_parapsilosis_CDC317	LN:1039767	M5:d21cf10f877289c51c2d58a1cdcd4277	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig005807_C_parapsilosis_CDC317	LN:2091826	M5:7a239b7fb56c6342271a3e8d71739bfd	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig005809_C_parapsilosis_CDC317	LN:3023470	M5:671f162f0793223cb1a51815caa73b21	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig006110_C_parapsilosis_CDC317	LN:957321	M5:13dcfd81290ee2d847806309da48b8ba	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig006139_C_parapsilosis_CDC317	LN:962442	M5:51048d416742f3cc1a9a881d93cf7318	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig006372_C_parapsilosis_CDC317	LN:1789679	M5:b4e2b46d47e6e2d2a68d56e66d1caef8	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:mito_C_parapsilosis_CDC317	LN:31781	M5:154da44485e3d21c2a32288e05f71f67	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
CONTIG	START	END	GC_CONTENT
Contig005504_C_parapsilosis_CDC317	1758	3965	0.393116
Contig005504_C_parapsilosis_CDC317	4275	7193	0.427201
Contig005504_C_parapsilosis_CDC317	8343	10793	0.390453
Contig005504_C_parapsilosis_CDC317	10798	12327	0.416340
Contig005504_C_parapsilosis_CDC317	12437	13438	0.417166
Contig005504_C_parapsilosis_CDC317	13587	14729	0.410324
Contig005504_C_parapsilosis_CDC317	14834	16735	0.401682
Contig005504_C_parapsilosis_CDC317	17295	20039	0.389800
Contig005504_C_parapsilosis_CDC317	23072	25099	0.419132
Contig005504_C_parapsilosis_CDC317	25158	26981	0.430373
Contig005504_C_parapsilosis_CDC317	27173	29614	0.400082
Contig005504_C_parapsilosis_CDC317	32282	33292	0.374876
Contig005504_C_parapsilosis_CDC317	33475	35658	0.382784
Contig005504_C_parapsilosis_CDC317	35819	37042	0.417484
Contig005504_C_parapsilosis_CDC317	37076	37855	0.421795
Contig005504_C_parapsilosis_CDC317	38501	39280	0.441026
Contig005504_C_parapsilosis_CDC317	39784	42837	0.437459
Contig005504_C_parapsilosis_CDC317	44249	45331	0.383195
Contig005504_C_parapsilosis_CDC317	45804	47873	0.392754
Contig005504_C_parapsilosis_CDC317	48280	50622	0.382843
Contig005504_C_parapsilosis_CDC317	50788	51132	0.362319
Contig005504_C_parapsilosis_CDC317	51213	53924	0.392699
Contig005504_C_parapsilosis_CDC317	54326	55351	0.397661
Contig005504_C_parapsilosis_CDC317	57604	59031	0.358543
Contig005504_C_parapsilosis_CDC317	60385	61434	0.402857
Contig005504_C_parapsilosis_CDC317	61527	63536	0.386567
Contig005504_C_parapsilosis_CDC317	65387	66274	0.409910
Contig005504_C_parapsilosis_CDC317	66410	67234	0.429091
Contig005504_C_parapsilosis_CDC317	67785	69509	0.401159
Contig005504_C_parapsilosis_CDC317	70003	72084	0.402498
Contig005504_C_parapsilosis_CDC317	72202	72522	0.417445
Contig005504_C_parapsilosis_CDC317	72736	74283	0.394703
Contig005504_C_parapsilosis_CDC317	74762	75439	0.396755
Contig005504_C_parapsilosis_CDC317	75800	81676	0.382338
Contig005504_C_parapsilosis_CDC317	82879	83580	0.354701
Contig005504_C_parapsilosis_CDC317	84744	86630	0.368839
Contig005504_C_parapsilosis_CDC317	87092	87343	0.380952
Contig005504_C_parapsilosis_CDC317	87600	88364	0.364706
Contig005504_C_parapsilosis_CDC317	88833	90083	0.430855
Contig005504_C_parapsilosis_CDC317	91810	92961	0.385417
Contig005504_C_parapsilosis_CDC317	93573	95726	0.400186
Contig005504_C_parapsilosis_CDC317	95894	96119	0.451327
Contig005504_C_parapsilosis_CDC317	101302	105591	0.482984
Contig005504_C_parapsilosis_CDC317	108851	112327	0.489215
Contig005504_C_parapsilosis_CDC317	114586	116289	0.396127
Contig005504_C_parapsilosis_CDC317	122947	124650	0.404343
Contig005504_C_parapsilosis_CDC317	125473	127287	0.449036
Contig005504_C_parapsilosis_CDC317	127913	129325	0.379335
Contig005504_C_parapsilosis_CDC317	129909	130931	0.404692
Contig005504_C_parapsilosis_CDC317	131555	134563	0.375540
Contig005504_C_parapsilosis_CDC317	134743	136641	0.413375
Contig005504_C_parapsilosis_CDC317	136882	138288	0.384506
Contig005504_C_parapsilosis_CDC317	138779	140827	0.378721
Contig005504_C_parapsilosis_CDC317	141218	143095	0.421725
Contig005504_C_parapsilosis_CDC317	145064	145777	0.366947
Contig005504_C_parapsilosis_CDC317	146564	148471	0.346436
Contig005504_C_parapsilosis_CDC317	148547	149989	0.445599
Contig005504_C_parapsilosis_CDC317	151101	151565	0.380645
